Local time,Open,High,Low,Close,Volume
01.08.2020 19:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 19:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 20:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 21:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
